"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1253","Testing the password input field uses masking","webkit","2026-06-04","passed","2026-06-04","Testing the Login Page","Login.spec.js","",""
"","1542","Missing the Mandetory state field","chromium","2026-06-04","passed","2026-06-04","Enter account information page testing","SignUp.spec.js","",""
"","4626","Testing mid-journey login does not discard existing guest user cart additions","firefox","2026-06-04","passed","2026-06-04","Testing the Login Page","Login.spec.js","",""
"","4250","Testing the Review your order after checkout button","chromium","2026-06-04","passed","2026-06-04","Testing the checkout functionality of the automation exercise","checkout.spec.js","",""
"","2432","Testing the email input field with extra spaces does not give error","webkit","2026-06-04","passed","2026-06-04","Testing the Login Page","Login.spec.js","",""
"","2265","Testing the Login page and checking our name in Logged in as","firefox","2026-06-04","passed","2026-06-04","Testing the Login Page","Login.spec.js","",""
"","1549","Missing the Mandetory last name field","chromium","2026-06-04","passed","2026-06-04","Enter account information page testing","SignUp.spec.js","",""
"","9093","Testing by attempting to log in with a newly deleted account","webkit","2026-06-04","passed","2026-06-04","Testing the Account Delete Functionality","Deletion.spec.js","",""
"","3124","Testing the Diaplay of Total amount","webkit","2026-06-04","passed","2026-06-04","Testing the checkout functionality of the automation exercise","checkout.spec.js","",""
"","2489","testing with all mandetory and non mandetory fields with inputs","chromium","2026-06-04","passed","2026-06-04","Enter account information page testing","SignUp.spec.js","",""
"","4787","Testing the place order with missing Expiration Month input","firefox","2026-06-04","passed","2026-06-04","Testing the Payment Page","Payment.spec.js","",""
"","5163","Testing clicking on the order in checkout page redirects to the products page","chromium","2026-06-04","passed","2026-06-04","Testing the checkout functionality of the automation exercise","checkout.spec.js","",""
"","1415","Testing access rejection when attempting authentication with a non-registered email","firefox","2026-06-04","passed","2026-06-04","Testing the Login Page","Login.spec.js","",""
"","2654","Testing the cart products to be visible in multiple browser tabs","chromium","2026-06-04","passed","2026-06-04","Testing the Cart Functionality without login","Cart.spec.js","",""
"","1697","Testing the click on add cart button pops the message added to cart","chromium","2026-06-04","passed","2026-06-04","Testing the Cart Functionality without login","Cart.spec.js","",""
"","4837","Testing by attempting to log in with a newly deleted account","chromium","2026-06-04","passed","2026-06-04","Testing the Account Delete Functionality","Deletion.spec.js","",""
"","2033","Testing the multiplied price of products in the cart is correct","chromium","2026-06-04","passed","2026-06-04","Testing the Cart Functionality without login","Cart.spec.js","",""
"","3388","Testing the clicking on account delete button deletes our account and displays account deleted","chromium","2026-06-04","passed","2026-06-04","Testing the Account Delete Functionality","Deletion.spec.js","",""
"","3953","Missing the Mandetory address1 field","webkit","2026-06-04","passed","2026-06-04","Enter account information page testing","SignUp.spec.js","",""
"","4443","Testing the click on add cart button pops the message added to cart","webkit","2026-06-04","passed","2026-06-04","Testing the Cart Functionality without login","Cart.spec.js","",""
"","3682","Testing the Place Order Button in the checkout page","firefox","2026-06-04","passed","2026-06-04","Testing the Payment Page","Payment.spec.js","",""
"","3191","Missing the Mandetory city field","webkit","2026-06-04","passed","2026-06-04","Enter account information page testing","SignUp.spec.js","",""
"","2887","Testing clicking on Men takes us to men dresses","webkit","2026-06-04","passed","2026-06-04","Testing the Interface Functionality","InterfaceFunctionality.spec.js","",""
"","2072","Testing the missing checkout button on the cart page when cart is empty","webkit","2026-06-04","passed","2026-06-04","Testing the checkout functionality of the automation exercise","checkout.spec.js","",""
"","1963","trying to signup without name but only with email","webkit","2026-06-04","passed","2026-06-04","SignUp page tests","SignUp.spec.js","",""
"","1098","Testing the subscription block by subscribing with email","chromium","2026-06-04","passed","2026-06-04","Testing the Interface Functionality","InterfaceFunctionality.spec.js","",""
"","1321","Testing the Visibility of Subscription option in the buttom of the page","firefox","2026-06-04","passed","2026-06-04","Testing the Interface Functionality","InterfaceFunctionality.spec.js","",""
"","4473","Testing the Place Order Button redirect to payment page","webkit","2026-06-04","passed","2026-06-04","Testing the checkout functionality of the automation exercise","checkout.spec.js","",""
"","2505","Testing the search bar Visibility in the product page","chromium","2026-06-04","passed","2026-06-04","Testing the Interface Functionality","InterfaceFunctionality.spec.js","",""
